Date,Close/Last,Volume,Open,High,Low
10/18/2019,273.69,1154897,274.36,274.9671,272.81
10/17/2019,274.82,3103315,275.24,275.72,274.185
10/16/2019,274.08,1153444,274.07,274.73,273.62
10/15/2019,274.51,1793824,272.87,275.25,272.77
10/14/2019,271.88,1216514,271.79,272.45,271.48
10/11/2019,272.13,2811812,272.1,274.35,271.94
10/10/2019,269.32,1575089,267.42,270.2,267.25
10/09/2019,267.5,1967625,267.04,268.437,266.39
10/08/2019,265.03,2159834,267.28,268.0193,264.96
10/07/2019,269.21,1828719,269.56,271.16,268.9
10/04/2019,270.37,1908861,267.45,270.56,267.355
10/03/2019,266.67,2995139,264.35,266.73,261.59
10/02/2019,264.57,4471676,267.73,267.73,263.2501
10/01/2019,269.32,3729072,273.44,274.08,269.09
09/30/2019,272.6,2736186,271.82,273.265,271.7929
09/27/2019,271.26,2838430,273.56,273.59,269.723
09/26/2019,272.79,2355716,273.34,273.55,271.35
09/25/2019,274.63,2650739,273.08,275.08,271.6
09/24/2019,272.96,5128098,276.31,276.675,272.06
09/23/2019,275.24,1298102,274.59,275.8997,274.33
09/20/2019,275.05,2063030,277.18,277.41,274.5
09/19/2019,276.53,2272858,277,277.98,276.23
09/18/2019,276.59,2030540,276,276.68,273.95
09/17/2019,276.42,1791361,275.46,276.48,275.34
09/16/2019,275.67,1432383,275.38,276.1,275.04
09/13/2019,276.58,2292208,277.21,277.54,276.1542
09/12/2019,276.65,2433713,276.71,277.8,275.94
09/11/2019,275.84,2080323,274.15,275.84,273.5
09/10/2019,273.87,1870384,273.11,273.88,271.87
09/09/2019,273.81,2158794,274.8,274.825,272.96
09/06/2019,273.74,1890921,273.93,274.39,273.19
09/05/2019,273.54,1756746,272.57,274.44,272.46
09/04/2019,269.97,1486534,269.25,270.06,268.4812
09/03/2019,267.11,3370402,266.83,267.8,265.68
08/30/2019,268.6,4209570,270.15,270.215,267.6609
08/29/2019,268.71,3129402,267.91,269.23,266.9
08/28/2019,265.26,3124885,262.73,265.45,262
08/27/2019,263.43,2491178,265.92,266.26,262.71
08/26/2019,264.47,2272271,263.81,264.47,262.27
08/23/2019,261.57,4216363,267.19,268.84,260.33
08/22/2019,268.46,1886585,269.28,269.9104,266.7
08/21/2019,268.56,2012417,268.58,268.9289,267.92
08/20/2019,266.4,1865144,267.98,268.49,266.29
08/19/2019,268.48,1431401,268.36,269.14,267.6415
08/16/2019,265.22,2433959,263.07,265.68,263.02
08/15/2019,261.39,2783321,261.62,262.27,259.34
08/14/2019,260.57,4354779,264.56,265.15,260.57
08/13/2019,268.66,3405324,264.22,270.1,263.91
08/12/2019,264.56,2104466,266.24,266.79,263.565
08/09/2019,267.7,2616286,268.72,269.29,266
08/08/2019,269.58,3618814,266,269.59,265.4
08/07/2019,264.42,4261217,261.16,265.2299,258.9901
08/06/2019,264.24,4366766,262.53,264.47,261.055
08/05/2019,260.88,7354009,264.57,264.68,258.7
08/02/2019,268.81,5310356,269.89,270.08,267.15
08/01/2019,270.79,6920969,273.28,276.28,269.94
07/31/2019,273.08,4910040,276.39,276.61,271.07
07/30/2019,276.21,1751061,275.45,276.56,275.04
07/29/2019,276.88,2925862,277.23,277.27,276.26
07/26/2019,277.38,1796961,276.2,277.55,276.1
07/25/2019,275.41,1874216,276.41,276.41,274.68
07/24/2019,276.76,1669885,274.78,276.79,274.67
07/23/2019,275.49,1752997,274.71,275.5,273.89
07/22/2019,273.61,1304991,273.32,274.11,272.79
07/19/2019,272.95,2319545,275.52,275.54,272.7
07/18/2019,274.42,3464704,272.91,274.79,272.47
07/17/2019,273.42,1758128,275.28,275.4,273.42
07/16/2019,275.28,1564200,276.12,276.265,274.99
07/15/2019,276.18,1466344,276.53,276.55,275.71
07/12/2019,276.11,2932354,275.39,276.19,275.06
07/11/2019,274.76,2249449,274.87,275.11,273.85
07/10/2019,274.21,2853620,274.02,275.19,273.46
07/09/2019,272.94,2532925,271.4,273.22,271.34
07/08/2019,272.6,3131845,272.79,273.06,272.03
07/05/2019,273.97,3362535,273.14,274.25,271.86
07/03/2019,274.32,2335798,272.91,274.37,272.76
07/02/2019,272.23,3041654,271.47,272.25,270.62
07/01/2019,271.44,4505600,272.46,272.6501,270.3
06/28/2019,269.15,2883271,268.7,269.55,268.18
06/27/2019,267.67,2054580,267.49,268.19,267.1702
06/26/2019,268.12,2988721,269.3,269.82,268.02
06/25/2019,268.38,2287082,271.1,271.13,268.27
06/24/2019,271.06,3518370,271.59,271.9207,270.9
06/21/2019,271.41,2225992,271.53,272.79,271.17
06/20/2019,271.73,3288090,271.94,272.19,269.73
06/19/2019,269.22,1684486,268.74,269.72,267.76
06/18/2019,268.51,2340697,267.65,269.66,267.3
06/17/2019,265.86,1782613,265.94,266.56,265.62
06/14/2019,265.62,1203356,265.71,266.29,264.91
06/13/2019,266.02,1813685,265.82,266.36,265.11
06/12/2019,264.84,1712276,265.12,265.7,264.355
06/11/2019,265.34,1894531,267.25,267.65,264.69
06/10/2019,265.39,2846143,265.76,267.1,265.3
06/07/2019,264.15,1877426,262.62,265.29,262.45
06/06/2019,261.54,2277840,260.17,262.255,259.5101
06/05/2019,259.85,2646522,259.24,259.88,257.42
06/04/2019,257.67,3536293,254.48,257.76,254.03
06/03/2019,252.12,3825614,252.83,253.9597,250.77
05/31/2019,252.87,3698782,253.63,254.49,252.77
05/30/2019,256.3,2977192,256.28,257.18,255.14
05/29/2019,255.59,4593562,256.13,256.525,254.1003
05/28/2019,257.36,2566079,259.96,260.96,257.29
05/24/2019,259.69,1833053,260.595,260.99,259.06
05/23/2019,259.24,3813201,260.08,260.1,257.68
05/22/2019,262.31,3421502,262.12,263.29,261.87
05/21/2019,263.03,2760813,262.5,263.51,262.25
05/20/2019,260.82,2762623,260.9,262.1106,260.02
05/17/2019,262.61,2719513,261.89,265.02,261.86
05/16/2019,264.21,3221513,262.47,265.6,262.45
05/15/2019,261.81,2444406,258.63,262.45,258.4
05/14/2019,260.27,4702647,258.99,261.82,258.84
05/13/2019,258.03,5548217,259.37,260.34,257.07
05/10/2019,264.52,3132036,262.37,265.38,259.2732
05/09/2019,263.29,3094808,261.94,263.84,260.2
05/08/2019,264.1,2662696,264.14,265.82,263.47
